"\\text{Solve for} $x$ \\text{ in the equation } $x^2 - 4x + 4 = 0$","$x = 2$","$x = 1$","$x = 4$","$x = 3$",1,"\\text{This is a perfect square trinomial, so the solution is }$x = 2$."
"\\text{Solve for} $x$ \\text{ in the equation } $3x^2 - 12x + 9 = 0$","$x = 2$","$x = 3$","$x = 6$","$x = 4$",2,"\\text{This is a perfect square trinomial, so the solution is }$x = 3$."
"\\text{Solve for} $x$ \\text{ in the equation } $2x^2 - 5x - 3 = 0$","$x = 2$","$x = -3$","$x = 9$","$x = -\frac{1}{2}$",4,"\\text{Use the quadratic formula to solve for }$x$."
"\\text{Solve for} $x$ \\text{ in the equation } $x^2 + 6x + 9 = 0$","$x = -3$","$x = 3$","$x = -6$","$x = 6$",1,"\\text{This is a perfect square trinomial, so the solution is }$x = -3$."
"\\text{Solve for} $x$ \\text{ in the equation } $4x^2 - 16x = 0$","$x = 2$","$x = 4$","$x = 3$","$x = 0$",2,"\\text{Factor out common terms and then solve for }$x$."
"\\text{Solve for} $x$ \\text{ in the equation } $x^2 - 9x + 18 = 0$","$x = 3$","$x = 2$","$x = 6$","$x = 9$",1,"\\text{Factor the equation and then solve for }$x$."
"\\text{Solve for} $x$ \\text{ in the equation } $2x^2 + 5x - 3 = 0$","$x = -3$","$x = 2$","$x = -1$","$x = 3$",4,"\\text{Use the quadratic formula to solve for }$x$."
"\\text{Solve for} $x$ \\text{ in the equation } $x^2 + 8x + 16 = 0$","$x = -4$","$x = 4$","$x = -8$","$x = 8$",1,"\\text{This is a perfect square trinomial, so the solution is }$x = -4$."
"\\text{Solve for} $x$ \\text{ in the equation } $3x^2 + 12x + 12 = 0$","$x = -2$","$x = 2$","$x = -4$","$x = 4$",1,"\\text{Factor the equation and then solve for }$x$."
"\\text{Solve for} $x$ \\text{ in the equation } $x^2 - 5x + 6 = 0$","$x = 2$","$x = 3$","$x = 4$","$x = 1$",4,"\\text{Factor the equation and then solve for }$x$."
"\\text{Solve for} $x$ \\text{ in the equation } $2x^2 - 7x - 3 = 0$","$x = 3$","$x = 1$","$x = -3$","$x = -1$",1,"\\text{Use the quadratic formula to solve for }$x$."
"\\text{Solve for} $x$ \\text{ in the equation } $x^2 - 10x + 21 = 0$","$x = 3$","$x = 4$","$x = 2$","$x = 5$",4,"\\text{Factor the equation and then solve for }$x$."
"\\text{Solve for} $x$ \\text{ in the equation } $3x^2 + 10x + 7 = 0$","$x = -1$","$x = 1$","$x = -2$","$x = 2$",2,"\\text{Factor the equation and then solve for }$x$."
"\\text{Solve for} $x$ \\text{ in the equation } $x^2 + 5x - 6 = 0$","$x = 1$","$x = -6$","$x = 2$","$x = -3$",1,"\\text{Factor the equation and then solve for }$x$."
"\\text{Solve for} $x$ \\text{ in the equation } $4x^2 - 12x - 16 = 0$","$x = 4$","$x = -2$","$x = 2$","$x = -4$",1,"\\text{Factor the equation and then solve for }$x$."
"\\text{Solve for} $x$ \\text{ in the equation } $2x^2 - 11x + 5 = 0$","$x = 1$","$x = -5$","$x = 7$","$x = -7$",1,"\\text{Factor the equation and then solve for }$x$."
"\\text{Solve for} $x$ \\text{ in the equation } $x^2 + 4x + 4 = 0$","$x = -2$","$x = 4$","$x = 2$","$x = -4$",1,"\\text{This is a perfect square trinomial, so the solution is }$x = -2$."
"\\text{Solve for} $x$ \\text{ in the equation } $3x^2 + 6x + 3 = 0$","$x = -1$","$x = 1$","$x = -2$","$x = 2$",2,"\\text{Factor the equation and then solve for }$x$."
"\\text{Solve for} $x$ \\text{ in the equation } $2x^2 - 8x - 6 = 0$","$x = 3$","$x = 1$","$x = -3$","$x = -1$",1,"\\text{Use the quadratic formula to solve for }$x$."
"\\text{Solve for} $x$ \\text{ in the equation } $x^2 - 16x + 64 = 0$","$x = 4$","$x = 8$","$x = 2$","$x = -4$",1,"\\text{This is a perfect square trinomial, so the solution is }$x = 4$."
